文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
[崩溃优化] notenoughcrashes-fabric-4.4.9+1.21.11.jar,崩溃优化 (Not Enough Crashes),4.4.9+1.21.11,2025/12/13 20:21:48,notenoughcrashes,yM94ont6,604756,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[崩溃优化] notenoughcrashes-fabric-4.4.9+1.21.11.jar
[边拿边走] InvMove-0.9.3+1.21.11-Fabric.jar,边拿边走 (InvMove),0.9.3,2026/1/5 7:33:52,invmove,REfW2AEX,84723,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[边拿边走] InvMove-0.9.3+1.21.11-Fabric.jar
[超多生物群系] BiomesOPlenty-fabric-1.21.11-21.11.0.28.jar,,21.11.0.28,,biomesoplenty,,23036360,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[超多生物群系] BiomesOPlenty-fabric-1.21.11-21.11.0.28.jar
[地毯] fabric-carpet-1.21.11-1.4.194+v251223.jar,地毯 (Carpet),1.4.194+v251223,2025/12/23 8:39:27,carpet,TQTTVgYE,1532100,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[地毯] fabric-carpet-1.21.11-1.4.194+v251223.jar
[动态 FPS] dynamic-fps-3.11.4+minecraft-1.21.11-fabric.jar,动态 FPS (Dynamic FPS),3.11.4,2026/1/30 2:28:04,dynamic_fps,LQ3K71Q1,218843,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[动态 FPS] dynamic-fps-3.11.4+minecraft-1.21.11-fabric.jar
[更多聊天记录] morechathistory-1.3.1.jar,更多聊天记录 (More Chat History),1.3.1,2024/4/24 6:42:18,morechathistory,8qkXwOnk,3573,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[更多聊天记录] morechathistory-1.3.1.jar
[更高级联机设置] mcwifipnp-1.9.8-1.21.11-fabric.jar,更高级联机设置 (LAN World Plug-n-Play),1.9.8,2025/12/17 11:17:47,mcwifipnp,RTWpcTBp,129250,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[更高级联机设置] mcwifipnp-1.9.8-1.21.11-fabric.jar
[更好的草地] BetterGrassify-1.8.3+fabric.1.21.11.jar,更好的草地 (BetterGrassify),1.8.3+fabric.1.21.11,2025/12/18 1:04:49,bettergrass,m5T5xmUy,87734,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[更好的草地] BetterGrassify-1.8.3+fabric.1.21.11.jar
[更好的统计信息界面] betterstats-5.0.0-beta.5+fabric-1.21.11.jar,更好的统计信息界面 (Better Statistics Screen),5.0.0-beta.5+fabric-1.21.11,2026/2/6 20:23:47,betterstats,n6PXGAoM,261086,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[更好的统计信息界面] betterstats-5.0.0-beta.5+fabric-1.21.11.jar
[共享原理图] syncmatica-fabric-1.21.11-0.3.17.jar,共享原理图 (Syncmatica),0.3.17,2026/1/10 12:36:54,syncmatica,bfneejKo,630414,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[共享原理图] syncmatica-fabric-1.21.11-0.3.17.jar
